Source_Name,Distance_Mpc,Redshift_Velocity,Distance_Method,RA,Dec,Gal_Lon,Gal_Lat,Frame_Dragging_Effect
836,61.066,5100.0,DMfp,3.0253,-0.4153,101.8409,-61.6656,nan
843,102.754,10167.0,DMfp,3.0604,-27.1900,30.2863,-81.2834,nan
847,119.84,7301.0,DMtf,3.0655,22.3219,111.1389,-39.6511,nan
848,103.896,6826.0,DMtf,3.0658,28.6489,112.6272,-33.4377,nan
858,161.659,11451.0,DMtf,3.1437,0.0498,102.3838,-61.2619,nan
859,103.419,8119.0,DMtf,3.1595,5.5053,105.4583,-56.0445,nan
865,86.417,5608.0,DMtf,3.1998,22.0233,111.2215,-39.9682,nan
866,104.858,7236.0,DMtf,3.2041,28.8056,112.8038,-33.3055,nan
869,50.886,4445.0,DMtf,3.2271,33.3614,113.7532,-28.8226,nan
874,75.963,4703.0,DMtf,3.2532,39.2459,114.8598,-23.0228,nan
880,165.882,11583.0,DMfp,3.2651,-5.7253,98.1115,-66.7296,nan
892,181.051,15035.0,DMfp,3.3318,-37.5145,338.2554,-76.8749,nan
897,51.832,4659.0,DMtf,3.3622,17.4864,110.1975,-44.4440,nan
902,75.614,5055.0,DMtf,3.3934,-5.0931,98.9930,-66.1892,nan
906,91.749,4957.0,DMtf,3.4263,48.6959,116.5386,-13.7069,nan
908,116.574,6806.0,DMtf,3.4367,30.1951,113.3294,-31.9729,nan
912,53.284,4350.0,DMtf,3.4854,26.9675,112.7041,-35.1584,nan
916,117.978,10652.0,DMfp,3.4491,-4.4751,99.6614,-65.6318,nan
924,21.607,1340.0,DMtf,3.5031,12.9639,108.9883,-48.8920,nan
937,75.266,5480.0,DMtf,3.5532,7.4112,106.9800,-54.3035,nan
944,112.15,8227.0,DMfp,3.5774,-6.9836,97.6172,-68.0116,nan
948,37.549,2083.0,DMtf,3.5724,2.2556,104.5294,-59.2824,nan
963,45.962,3589.0,DMsnIa,3.6328,-0.7377,102.8519,-62.1619,nan
976,89.66,5105.0,DMtf,3.6521,8.2796,107.4994,-53.4850,nan
978,83.676,5049.0,DMtf,3.6670,18.5820,110.8971,-43.4288,nan
982,66.039,4450.0,DMfp,3.6785,-60.3284,311.0974,-56.2137,nan
983,55.182,5140.0,DMfp,3.6860,-7.3452,97.5106,-68.3867,nan
997,267.055,16659.0,DMtf,3.7620,16.8371,110.5391,-45.1571,nan
1011,67.702,4994.0,DMtf,3.7820,-7.1067,97.9947,-68.2027,nan
1022,96.962,7431.0,DMtf,3.8221,-6.3452,98.8441,-67.5106,nan
1024,98.583,9649.0,DMfp,3.8187,-57.2449,312.4916,-59.2071,nan
1037,65.313,5107.0,DMsbf,3.8786,17.3284,110.8306,-44.6976,nan
1047,72.078,7193.0,DMfp,3.9333,-33.0306,353.3713,-80.2859,nan
1051,44.525,3846.0,DMtf,3.9630,16.0895,110.5969,-45.9282,nan
1056,78.451,5120.0,DMtf,3.9897,14.0757,110.0403,-47.9059,nan
1089,65.253,4548.0,DMtf,4.1189,29.9239,113.9641,-32.3383,nan
1106,54.777,3637.0,DMtf,4.1841,7.0760,107.8890,-54.7790,nan
1107,12.723,780.0,DMtf,4.2012,12.3500,109.8072,-49.6371,nan
1109,38.424,3594.0,DMtf,4.2120,-5.2684,100.7484,-66.6388,nan
1115,81.246,6344.0,DMfp,4.2619,-9.6798,96.3722,-70.7569,nan
1123,73.553,4764.0,DMtf,4.2711,42.1612,116.1555,-20.2580,nan
1130,41.937,2884.0,DMtf,4.2925,-19.3014,75.9915,-78.9059,nan
1137,110.103,10653.0,DMfp,4.2904,-3.7137,102.1745,-65.1949,nan
1139,88.838,5324.0,DMtf,4.3304,6.7231,107.9924,-55.1560,nan
1149,101.065,6961.0,DMtf,4.3765,-6.8247,99.7503,-68.1559,nan
1152,73.553,5649.0,DMtf,4.4007,-4.6262,101.7201,-66.0947,nan
1154,55.539,4516.0,DMtf,4.3994,30.2049,114.2997,-32.0990,nan
1158,77.375,5715.0,DMtf,4.4241,24.6673,113.2495,-37.5692,nan
1160,18.647,803.0,DMtf,4.4397,11.4503,109.8742,-50.5656,nan
1170,75.963,5460.0,DMtf,4.4992,24.5631,113.3130,-37.6833,nan
1172,110.306,8708.0,DMtf,4.5056,-59.0837,310.9229,-57.5230,nan
1173,80.872,7287.0,DMfp,4.5192,-33.8746,347.6836,-80.1506,nan
1175,92.598,5521.0,DMtf,4.5439,18.2923,111.9516,-43.8691,nan
1176,82.149,6735.0,DMtf,4.5249,-37.7094,334.3906,-77.3064,nan
1196,60.618,4875.0,DMtf,4.6052,18.5163,112.0857,-43.6590,nan
1198,61.461,4990.0,DMtf,4.5997,48.7317,117.3330,-13.7804,nan
1201,66.161,6520.0,DMtf,4.6391,-6.2720,100.9090,-67.7268,nan
1211,80.872,7346.0,DMfp,4.6624,-15.3223,88.4352,-75.9482,nan
1223,81.997,6433.0,DMfp,4.7112,-8.4586,98.9777,-69.8000,nan
1226,103.896,4875.0,DMtf,4.7215,48.0167,117.3192,-14.4999,nan
1228,81.997,5826.0,DMfp,4.7292,-3.2761,103.4809,-64.9125,nan
1231,58.966,4132.0,DMtf,4.7526,23.4762,113.3792,-38.7933,nan
1236,84.45,7299.0,DMtf,4.7704,-22.9364,60.9373,-81.5601,nan
1237,154.383,10555.0,DMtf,4.7843,15.7494,111.6235,-46.4119,nan
1238,79.91,5003.0,DMtf,4.7502,19.3979,112.4817,-42.8147,nan
1241,111.841,9550.0,DMtf,4.7890,-24.5230,50.8687,-82.2847,nan
1248,95.192,6745.0,DMtf,4.8368,-10.9442,96.3910,-72.1419,nan
1258,55.539,5094.0,DMtf,4.8609,16.8661,112.0139,-45.3263,nan
1264,100.138,4870.0,DMtf,4.8963,47.2411,117.3365,-15.2843,nan
1265,74.92,4899.0,DMtf,4.8624,13.1610,111.0226,-48.9696,nan
1273,91.327,4898.0,DMtf,4.9449,18.3598,112.4877,-43.8690,nan
1276,91.749,5482.0,DMtf,4.9531,23.7726,113.6717,-38.5298,nan
1285,79.91,5097.0,DMtf,4.9471,9.1669,109.9109,-52.9029,nan
1286,91.327,7479.0,DMtf,4.9986,20.0049,112.9327,-42.2555,nan
1288,42.111,3364.0,DMsnIa,5.0004,-6.3337,101.7529,-67.9034,nan
1291,205.022,11584.0,DMfp,5.0118,-4.0517,103.5755,-65.7369,nan
1292,18.222,790.0,DMtf,5.0213,10.8792,110.5801,-51.2390,nan
1293,93.454,7272.0,DMtf,4.9894,15.0921,111.7346,-47.0940,nan
1294,74.234,4961.0,DMtf,4.9932,19.4024,112.7907,-42.8489,nan
1295,129.003,8784.0,DMtf,5.0259,-54.5231,312.6356,-62.0108,nan
1301,68.014,5379.0,DMtf,5.0838,7.7003,109.6270,-54.3660,nan
1315,57.359,4879.0,DMtf,5.1426,47.4342,117.5333,-15.1136,nan
1325,96.962,7374.0,DMtf,5.1753,-23.2829,60.1981,-82.0576,nan
1332,309.457,16101.0,DMtf,5.2077,6.8075,109.5146,-55.2649,nan
1339,49.181,5561.0,DMfp,5.2157,21.5366,113.5283,-40.7762,nan
1340,83.907,5144.0,DMfp,5.2618,22.5664,113.7925,-39.7654,nan
1346,189.06,11478.0,DMtf,5.2497,7.6221,109.8763,-54.4762,nan
1347,153.674,11332.0,DMtf,5.2770,26.5133,114.5541,-35.8646,nan
1351,76.524,5394.0,DMfp,5.2953,22.3573,113.7906,-39.9768,nan
1361,68.644,6466.0,DMtf,5.3238,29.8580,115.1765,-32.5594,nan
1362,68.644,5399.0,DMtf,5.3229,23.0909,113.9678,-39.2556,nan
1371,82.111,5975.0,DMsnIa,5.3436,22.4336,113.8635,-39.9082,nan
1372,52.312,4941.0,DMtf,5.3343,17.3409,112.7606,-44.9356,nan
1375,56.468,5852.0,DMfp,5.3565,22.5117,113.8942,-39.8328,nan
1381,137.594,10619.0,DMtf,5.3911,3.5940,108.5803,-58.4428,nan
1382,84.45,5464.0,DMtf,5.3707,22.5058,113.9100,-39.8405,nan
1384,102.471,6292.0,DMtf,5.3897,22.5920,113.9493,-39.7580,nan
1387,92.598,6698.0,DMtf,5.3796,29.6621,115.2014,-32.7601,nan
1404,71.548,5928.0,DMtf,5.4631,-9.4922,99.9390,-71.0313,nan
1407,63.65,5406.0,DMfp,5.4799,22.0064,113.9422,-40.3495,nan
1413,68.328,4153.0,DMtf,5.5212,23.7370,114.3225,-38.6435,nan
1414,43.511,4857.0,DMtf,5.5052,49.1334,117.9916,-13.4559,nan
1419,54.526,4006.0,DMtf,5.5425,-4.3464,104.6110,-66.1716,nan
1422,91.327,5319.0,DMtf,5.5632,20.6078,113.7645,-41.7438,nan
1426,57.359,5031.0,DMtf,5.5563,10.4916,111.2921,-51.7187,nan
1439,86.417,6762.0,DMtf,5.6101,29.5039,115.4123,-32.9440,nan
1451,111.327,5689.0,DMtf,5.6410,-8.4864,101.4680,-70.1456,nan
1460,131.401,8873.0,DMtf,5.6905,29.9397,115.5632,-32.5214,nan
1461,109.799,7197.0,DMtf,5.7078,6.8174,110.3726,-55.3553,nan
1462,107.3,12194.0,DMtf,5.7084,24.1523,114.6145,-38.2570,nan
1470,85.075,6147.0,DMfp,5.7207,-14.5344,93.6605,-75.7572,nan
1472,193.464,11850.0,DMtf,5.7392,25.2123,114.8369,-37.2113,nan
1474,103.896,7064.0,DMtf,5.7388,-22.1187,69.1371,-81.8182,nan
1478,82.909,4893.0,DMtf,5.7378,16.2530,113.0533,-46.0716,nan
1481,125.256,10099.0,DMfp,5.7562,-56.8347,310.6756,-59.8642,nan
1511,62.604,4981.0,DMtf,5.9508,14.6839,112.9848,-47.6533,nan
1516,107.3,6888.0,DMtf,5.9726,28.3328,115.6049,-34.1467,nan
1520,80.649,5370.0,DMtf,5.9860,24.3058,114.9608,-38.1400,nan
1524,107.795,7041.0,DMtf,6.0095,25.6624,115.2162,-36.7984,nan
1526,93.282,6927.0,DMfp,6.0849,-14.2322,95.4796,-75.6393,nan
1534,57.89,3971.0,DMtf,6.1178,-3.8569,106.2934,-65.8537,nan
1542,93.713,7016.0,DMfp,6.1521,-13.9564,96.1779,-75.4160,nan
1544,36.025,4438.0,DMtf,6.1538,29.2872,115.9394,-33.2201,nan
1546,51.594,4544.0,DMtf,6.1612,33.2561,116.5113,-29.2813,nan
1547,102.944,7837.0,DMtf,6.1810,-6.0229,104.9817,-67.9588,nan
1552,57.095,4341.0,DMtf,6.1936,29.5601,116.0208,-32.9535,nan
1553,65.857,5024.0,DMtf,6.1819,21.1010,114.6241,-41.3394,nan
1564,94.755,6999.0,DMtf,6.3264,-14.5574,95.7861,-76.0327,nan
1572,69.599,6479.0,DMtf,6.2639,31.3445,116.3471,-31.1897,nan
1577,90.908,8322.0,DMtf,6.2922,6.4909,111.2725,-55.7851,nan
1582,86.816,8594.0,DMtf,6.3536,6.7063,111.4476,-55.5841,nan
1583,66.13,4935.0,DMsnIa,6.3199,12.8838,113.0916,-49.4875,nan
1588,106.316,7794.0,DMtf,6.3546,-41.6023,321.5032,-74.5743,nan
1592,102.0,4799.0,DMtf,6.3746,45.9217,118.2265,-16.7128,nan
1594,54.526,4214.0,DMtf,6.3750,24.8111,115.4894,-37.6855,nan
1606,65.554,5962.0,DMtf,6.4257,-8.2828,103.8295,-70.1942,nan
1609,67.391,4982.0,DMtf,6.4489,-2.2849,107.9640,-64.4089,nan
1621,151.565,10838.0,DMtf,6.4958,14.3480,113.6852,-48.0662,nan
1634,48.82,3641.0,DMtf,6.5724,-4.4922,106.9877,-66.5823,nan
1651,27.964,1566.0,DMtf,6.6933,-33.6770,340.4905,-81.5678,nan
1654,81.771,5974.0,DMtf,6.7029,31.7032,116.8293,-30.8766,nan
1656,45.688,4001.0,DMfp,6.7277,-2.5009,108.4812,-64.6822,nan
1658,50.188,4914.0,DMtf,6.7355,50.0307,118.9045,-12.6493,nan
1660,55.693,3820.0,DMfp,6.7425,-1.7861,108.8768,-63.9882,nan
1665,28.093,1783.0,DMtf,6.7622,11.5838,113.4479,-50.8383,nan
1693,48.062,3700.0,DMfp,6.8754,-1.5136,109.3031,-63.7501,nan
1713,56.833,3558.0,DMtf,6.9573,-1.2000,109.6294,-63.4603,nan
1714,25.154,1035.0,DMtf,6.9648,3.4897,111.4993,-58.8577,nan
1715,45.144,3719.0,DMtf,6.9683,-1.8103,109.3683,-64.0597,nan
1723,40.42,4054.0,DMtf,6.9943,2.5074,111.2116,-59.8294,nan
1726,70.567,6759.0,DMtf,7.0101,-8.1210,105.6024,-70.2016,nan
1736,77.375,5986.0,DMtf,7.0625,30.8031,117.0727,-31.8047,nan
1737,66.466,4018.0,DMtf,7.0574,3.2336,111.5885,-59.1261,nan
1738,141.189,9277.0,DMfp,7.0648,-48.6674,313.1837,-67.9968,nan
1743,129.003,9263.0,DMtf,7.0884,27.3691,116.6564,-35.2211,nan
1748,60.898,3940.0,DMtf,7.0923,2.5272,111.4103,-59.8275,nan
1750,13.633,990.0,DMtf,7.1109,5.0044,112.2618,-57.3902,nan
1751,99.678,7301.0,DMtf,7.1160,-7.3905,106.4509,-69.5238,nan
1754,74.92,4428.0,DMtf,7.1432,33.2722,117.4493,-29.3559,nan
1755,95.017,7346.0,DMfp,7.1654,-13.0102,101.1348,-74.9097,nan
1758,68.96,5774.0,DMtf,7.1444,31.1554,117.1981,-31.4616,nan
1760,42.131,4159.0,DMtf,7.1591,2.9541,111.6885,-59.4189,nan
1762,99.038,5874.0,DMfp,7.1646,-11.6406,102.7791,-73.6146,nan
1771,15.157,1862.0,DMtf,7.2130,28.9396,116.9934,-33.6715,nan
1773,102.754,5868.0,DMfp,7.2523,-8.3184,106.1346,-70.4552,nan
1774,35.53,2575.0,DMtf,7.2085,32.1739,117.3835,-30.4541,nan
1797,98.311,6030.0,DMtf,7.3472,31.3819,117.4270,-31.2540,nan
1802,41.553,4856.0,DMtf,7.4148,11.6014,114.4549,-50.9115,nan
1806,152.686,15863.0,DMfp,7.3824,-13.9935,100.5788,-75.9056,nan
1813,12.9,1163.0,DMtf,7.4104,-33.2599,339.1207,-82.2714,nan
1814,36.025,3802.0,DMtf,7.4100,0.4103,111.2742,-61.9671,nan
1816,45.899,3117.0,DMfp,7.4238,-51.5207,311.0300,-65.2643,nan
1817,91.749,5252.0,DMtf,7.4321,21.4769,116.2232,-41.1119,nan
1828,82.49,5990.0,DMsnIa,7.4726,31.3932,117.5530,-31.2533,nan
1833,102.0,7042.0,DMtf,7.4825,-27.4973,27.2836,-85.2086,nan
1841,45.144,3181.0,DMtf,7.5305,-11.1136,104.5314,-73.2193,nan
1844,69.279,5042.0,DMtf,7.5449,2.0936,112.1536,-60.3325,nan
1845,239.111,8988.0,DMtf,7.5510,-41.1014,318.9440,-75.3599,nan
1851,18.647,1318.0,DMtf,7.5911,-33.2440,338.3093,-82.3778,nan
1858,166.648,9701.0,DMfp,7.6224,-43.0903,316.4912,-73.4820,nan
1861,74.92,5320.0,DMtf,7.6321,42.1098,118.7914,-20.5937,nan
1879,105.342,6993.0,DMtf,7.6913,-29.3428,5.7879,-84.9375,nan
1886,136.962,7478.0,DMtf,7.7451,-7.2159,108.3016,-69.5045,nan
1897,141.84,10488.0,DMfp,7.7426,-9.4042,106.7204,-71.6288,nan
1903,157.979,12275.0,DMtf,7.7892,4.5032,113.3638,-57.9913,nan
1905,63.475,5439.0,DMtf,7.8003,-0.4073,111.7933,-62.8406,nan
1908,92.598,5782.0,DMtf,7.8088,-7.8408,108.0659,-70.1273,nan
1909,62.316,3242.0,DMtf,7.8054,-10.4815,106.0098,-72.6858,nan
1910,76.524,7005.0,DMfp,7.8082,-36.8539,325.4004,-79.3772,nan
1911,125.487,7749.0,DMtf,7.8151,-22.5600,76.7863,-83.5345,nan
