Source_Name,Distance_Mpc,Redshift_Velocity,Distance_Method,RA,Dec,Gal_Lon,Gal_Lat,Frame_Dragging_Effect
2,80.279,4726.0,DMtf,0.0070,47.2745,113.9553,-14.6992,nan
4,49.728,4109.0,DMtf,0.0144,23.0876,107.8322,-38.2729,nan
12,99.22,6195.0,DMtf,0.0358,-6.3739,90.1920,-65.9300,nan
16,84.84,5312.0,DMtf,0.0471,-5.1587,91.6006,-64.8655,nan
55,70.243,4454.0,DMtf,0.1558,33.6009,110.9496,-28.0857,nan
64,209.797,15324.0,DMfp,0.2180,-35.8436,350.7982,-76.1593,nan
66,180.219,14725.0,DMfp,0.2215,-35.9863,350.3084,-76.0782,nan
68,88.024,7338.0,DMtf,0.2306,-18.9589,65.4189,-75.8101,nan
70,115.505,6447.0,DMtf,0.2336,20.3380,107.1780,-40.9837,nan
76,94.319,6583.0,DMtf,0.2454,28.9115,109.8058,-32.6709,nan
80,135.706,9151.0,DMtf,0.2698,4.5406,100.0199,-56.0746,nan
92,36.864,5015.0,DMtf,0.3125,13.1125,104.5148,-47.9564,nan
94,63.475,3995.0,DMtf,0.5037,80.6417,120.8356,17.9718,nan
96,204.456,14380.0,DMtf,0.2844,6.3372,101.1155,-54.3900,nan
102,78.451,4726.0,DMtf,0.3324,34.5257,111.3396,-27.2155,nan
114,126.999,14397.0,DMfp,0.3922,-36.3167,348.8694,-75.9911,nan
115,179.391,14005.0,DMfp,0.4386,-4.3469,93.2687,-64.3187,nan
120,99.22,4371.0,DMtf,0.4097,23.4836,108.4041,-37.9792,nan
123,154.099,10966.0,DMfp,0.4002,-14.7486,77.2885,-73.0343,nan
124,79.543,5988.0,DMtf,0.4027,3.5056,99.5867,-57.0904,nan
128,160.177,12230.0,DMtf,0.4231,32.1078,110.8226,-29.5916,nan
145,129.003,9427.0,DMtf,0.4884,-27.9994,25.5363,-79.0033,nan
146,71.879,6004.0,DMtf,0.5133,17.5739,106.5494,-43.7212,nan
155,76.666,7582.0,DMtf,0.5163,12.5310,104.5493,-48.5706,nan
165,87.619,7280.0,DMtf,0.5959,27.2106,109.6977,-34.3974,nan
171,43.112,2326.0,DMtf,0.5877,77.2569,120.1543,14.6507,nan
176,99.22,6109.0,DMtf,0.6452,-3.7108,94.3254,-63.8352,nan
179,67.391,5175.0,DMtf,0.6664,8.7370,103.0010,-52.2373,nan
182,147.843,11615.0,DMfp,0.6837,-43.9672,329.9991,-70.5123,nan
186,111.841,7539.0,DMtf,0.6932,18.8863,107.2408,-42.4978,nan
196,208.833,14365.0,DMfp,0.7276,-35.7222,350.1860,-76.5653,nan
201,118.741,8267.0,DMtf,0.7375,4.2086,100.6040,-56.5465,nan
205,102.471,6910.0,DMtf,0.7737,-1.9139,96.2231,-62.2521,nan
212,196.155,10872.0,DMtf,0.7968,15.9655,106.3211,-45.3443,nan
216,64.062,7628.0,DMtf,0.8218,3.6221,100.3835,-57.1267,nan
218,16.773,693.0,DMtf,0.8121,16.1456,106.4089,-45.1746,nan
222,126.067,6774.0,DMtf,0.8274,22.6417,108.6215,-38.8890,nan
224,156.243,10147.0,DMfp,0.8389,-50.0804,321.5640,-65.2725,nan
226,88.838,11584.0,DMtf,0.8352,8.6189,103.2021,-52.4007,nan
247,263.39,16978.0,DMtf,0.9117,11.4980,104.6639,-49.6711,nan
250,96.028,6914.0,DMsnIa,0.8958,23.2008,108.8693,-38.3606,nan
257,110.306,7612.0,DMtf,0.9335,28.5557,110.4106,-33.1535,nan
258,165.425,11205.0,DMtf,0.9366,4.2981,100.9976,-56.5290,nan
259,96.962,6050.0,DMtf,0.9346,16.1868,106.5852,-45.1656,nan
262,125.256,8795.0,DMfp,0.9528,-43.6183,330.1064,-70.9101,nan
265,113.92,11708.0,DMtf,0.9653,-50.7666,320.6853,-64.6901,nan
279,29.013,1959.0,DMtf,0.9953,20.7523,108.2283,-40.7605,nan
280,104.376,10310.0,DMtf,1.0051,-51.3941,320.0167,-64.1324,nan
282,151.496,10921.0,DMsnIa,1.0063,-11.1742,85.7160,-70.5384,nan
291,149.486,10944.0,DMtf,1.0583,-51.2235,320.1118,-64.3012,nan
292,160.916,11682.0,DMtf,1.0627,-50.6460,320.6756,-64.8255,nan
293,113.397,6956.0,DMtf,1.0504,-14.5236,79.4475,-73.2685,nan
296,96.516,7616.0,DMtf,1.0542,10.7905,104.5583,-50.3890,nan
298,48.15,4103.0,DMtf,1.0614,22.5881,108.8750,-38.9920,nan
301,72.879,4730.0,DMtf,1.1043,6.1776,102.3575,-54.8049,nan
303,44.525,4645.0,DMtf,1.1020,31.4720,111.3151,-30.3366,nan
305,41.362,2760.0,DMtf,1.1200,5.8472,102.2018,-55.1233,nan
309,49.728,4442.0,DMtf,1.1364,33.5590,111.8448,-28.3012,nan
312,44.73,3460.0,DMtf,1.2725,-7.0934,92.0570,-67.1442,nan
322,95.896,7718.0,DMfp,1.1759,-30.4836,12.0236,-79.2328,nan
329,66.466,6823.0,DMtf,1.1968,-1.5703,97.3454,-62.1020,nan
331,124.681,10711.0,DMfp,1.2155,-54.4873,317.0825,-61.3427,nan
337,119.619,8884.0,DMfp,1.2425,-60.0263,313.3382,-56.1531,nan
345,79.177,5908.0,DMtf,1.2471,18.2988,107.7338,-43.1980,nan
354,95.192,5793.0,DMtf,1.2761,6.9201,103.0326,-54.1518,nan
362,94.58,10509.0,DMfp,1.2968,-50.3480,320.6575,-65.1585,nan
366,90.49,5927.0,DMtf,1.3078,6.7719,103.0066,-54.3025,nan
367,107.795,7092.0,DMtf,1.3197,-16.4769,75.4659,-74.9102,nan
374,181.051,10420.0,DMfp,1.3659,-50.5819,320.3288,-64.9650,nan
382,156.531,10185.0,DMtf,1.3708,-50.2703,320.6340,-65.2489,nan
383,138.229,10490.0,DMtf,1.3720,-49.6203,321.3046,-65.8367,nan
393,142.102,9274.0,DMtf,1.3929,53.6313,116.0841,-8.6294,nan
399,205.022,10857.0,DMfp,1.4163,-53.8169,317.3830,-62.0083,nan
415,99.632,7165.0,DMsnIa,1.4517,27.4491,110.6597,-34.3329,nan
424,77.589,5389.0,DMfp,1.4871,-13.9958,81.7267,-73.1156,nan
426,55.03,6644.0,DMtf,1.4679,22.5361,109.3300,-39.1291,nan
431,83.291,6267.0,DMtf,1.4836,22.4926,109.3355,-39.1748,nan
448,113.397,8763.0,DMtf,1.5171,-30.6286,10.8317,-79.4757,nan
449,115.824,9919.0,DMfp,1.5149,-52.2189,318.6052,-63.5065,nan
451,64.953,4925.0,DMtf,1.5100,14.4174,106.6980,-47.0183,nan
456,150.591,10001.0,DMfp,1.5351,-50.6472,320.0340,-64.9503,nan
461,72.544,5249.0,DMtf,1.5556,54.5319,116.3406,-7.7601,nan
462,85.231,7807.0,DMtf,1.5522,-22.8525,53.1099,-78.9015,nan
465,152.195,11092.0,DMsnIa,1.5588,8.8878,104.4514,-52.3545,nan
468,129.957,10702.0,DMfp,1.5639,-52.7780,318.0617,-63.0027,nan
484,139.894,10828.0,DMfp,1.6199,-53.8273,317.1371,-62.0434,nan
485,64.239,5851.0,DMfp,1.6185,-3.7162,96.3409,-64.2414,nan
507,98.311,7218.0,DMtf,1.6671,26.1541,110.5526,-35.6391,nan
511,86.816,5010.0,DMtf,1.6682,5.1134,102.7122,-55.9909,nan
514,157.688,10093.0,DMfp,1.7016,-51.1035,319.3735,-64.5762,nan
515,67.36,4796.0,DMsnIa,1.7063,8.6285,104.5597,-52.6445,nan
517,103.896,7543.0,DMtf,1.7097,19.3219,108.6462,-42.3093,nan
524,75.266,4947.0,DMtf,1.6989,4.9367,102.6666,-56.1685,nan
526,104.858,9508.0,DMtf,1.7196,-50.4150,320.0071,-65.2101,nan
527,70.567,3952.0,DMtf,1.7240,41.7405,114.0896,-20.3652,nan
548,81.021,5093.0,DMtf,1.7567,14.1064,106.9213,-47.3800,nan
558,145.412,9839.0,DMtf,1.7927,-21.7865,58.4853,-78.6052,nan
559,66.466,5053.0,DMtf,1.7982,13.7685,106.8523,-47.7171,nan
564,71.22,4218.0,DMtf,1.8162,27.7079,111.1074,-34.1475,nan
567,90.074,7209.0,DMtf,1.8213,27.6780,111.1053,-34.1777,nan
569,75.266,4761.0,DMtf,1.8312,32.6092,112.2786,-29.3483,nan
608,77.732,4571.0,DMtf,2.0069,33.0708,112.5465,-28.9240,nan
613,81.771,6074.0,DMtf,2.0283,9.7177,105.5491,-51.6858,nan
616,156.531,11468.0,DMtf,2.0614,7.7802,104.7226,-53.5576,nan
617,72.544,8438.0,DMtf,2.0424,27.0038,111.1712,-34.8778,nan
619,41.362,4303.0,DMtf,2.0454,27.5278,111.3036,-34.3653,nan
627,18.906,1210.0,DMtf,2.0869,-29.9153,13.9928,-80.1378,nan
634,103.896,6529.0,DMtf,2.1441,-33.8578,354.2118,-78.5861,nan
635,139.894,8772.0,DMfp,2.1429,-10.9493,88.9479,-70.9364,nan
638,121.507,7927.0,DMtf,2.1496,44.0966,114.8603,-18.1027,nan
641,107.3,9837.0,DMtf,2.1670,-50.6194,319.1909,-65.1372,nan
642,62.893,4130.0,DMtf,2.1771,37.4479,113.6137,-24.6495,nan
644,62.893,4237.0,DMtf,2.2053,24.5401,110.7229,-37.3192,nan
650,60.898,4505.0,DMtf,2.1989,33.4334,112.8048,-28.5984,nan
654,65.857,4004.0,DMtf,2.2683,25.6183,111.0688,-36.2756,nan
657,136.962,10533.0,DMtf,2.2691,10.5653,106.2735,-50.9312,nan
658,98.311,6332.0,DMtf,2.2675,10.9190,106.4158,-50.5891,nan
659,101.531,6552.0,DMtf,2.2641,-32.9143,358.1170,-79.1633,nan
676,62.893,4882.0,DMtf,2.3694,47.3558,115.5986,-14.9176,nan
680,106.316,5388.0,DMtf,2.3868,48.1353,115.7452,-14.1510,nan
690,103.896,7986.0,DMtf,2.4508,27.8321,111.8022,-34.1382,nan
693,152.968,16885.0,DMtf,2.4647,26.7909,111.5697,-35.1618,nan
695,33.466,1720.0,DMtf,2.4696,-64.3716,310.2378,-52.1630,nan
698,51.357,4228.0,DMtf,2.4723,25.9238,111.3675,-36.0132,nan
705,81.021,6507.0,DMtf,2.4987,29.9100,112.3268,-32.1069,nan
709,114.974,7867.0,DMtf,2.5130,28.1501,111.9414,-33.8368,nan
718,67.577,5948.0,DMfp,2.5977,-7.0845,95.1455,-67.7142,nan
725,83.291,5793.0,DMtf,2.5831,-46.4193,323.0678,-69.0688,nan
727,163.908,11116.0,DMtf,2.5907,12.1415,107.3707,-49.4852,nan
731,132.617,6725.0,DMtf,2.6099,28.9878,112.2328,-33.0307,nan
732,63.768,4252.0,DMtf,2.6080,25.8319,111.4932,-36.1274,nan
742,96.516,7517.0,DMtf,2.6364,28.9963,112.2619,-33.0267,nan
743,111.327,7815.0,DMtf,2.6533,-6.6397,95.7584,-67.3320,nan
753,120.171,10335.0,DMfp,2.6634,-56.8035,313.9229,-59.4459,nan
759,59.511,4474.0,DMtf,2.6703,32.9831,113.1530,-29.1135,nan
767,74.576,4448.0,DMtf,2.6953,33.3528,113.2524,-28.7536,nan
772,149.486,9915.0,DMtf,2.7375,25.5599,111.5691,-36.4169,nan
789,112.357,7582.0,DMtf,2.8026,-33.5786,353.8443,-79.1967,nan
791,81.395,7713.0,DMtf,2.8094,28.9064,112.4194,-33.1433,nan
798,67.702,5680.0,DMtf,2.8430,6.3892,105.3436,-55.1084,nan
801,146.487,9617.0,DMfp,2.8455,-56.9573,313.6443,-59.3300,nan
810,107.795,7102.0,DMtf,2.9088,27.9479,112.3089,-34.1015,nan
816,136.962,7578.0,DMtf,2.9379,28.4989,112.4618,-33.5647,nan
817,104.858,7487.0,DMtf,2.9454,-30.1341,11.5407,-80.7978,nan
830,54.777,4173.0,DMtf,3.0054,26.3931,112.0582,-35.6450,nan
832,172.425,10407.0,DMtf,3.0250,24.9884,111.7503,-37.0278,nan
833,64.953,5995.0,DMtf,3.0372,12.0457,107.9892,-49.6827,nan
835,111.327,7065.0,DMtf,3.0390,27.9099,112.4369,-34.1600,nan
