DESI_RA,DESI_DEC,DESI_GLON,DESI_GLAT,DESI_BRICKNAME,DESI_BRICKID,DESI_BRICKQ,PGC_ID,1PGC,T17,Vcmb,DM,eDM,DMsnIa,eDMsn1,DMtf,eDMtf,DMfp,eDMfp,DMsbf,eDMsbf,DMsnII,eDMsn2,DMtrgb,eDMt,DMcep,eDMcep,DMmas,eDMmas,RA,DE,glon,glat,sgl,sgb,SGX,SGY,SGZ,separation_arcsec,diff_glon,diff_glat,match_score
123.24742268041237,36.25,185.15576975111173,31.309805164490392,1232p362,526326,2,23028.0,23028.0,0.0,2659.0,32.613,0.4,,,32.613,0.4,,,,,,,,,,,,,123.2413,36.2546,185.1493,31.3061,45.5904,-34.8684,15.24,15.55,-15.17,24.293594893038016,0.006469751111723099,0.003705164490391155,0.4150681638194145
40.26647966339411,-8.25,182.0069261452123,-57.9244886088811,0402m082,283143,3,10175.0,9843.0,0.0,1373.0,31.413,0.27,,,,,,,31.413,0.27,,,,,,,,,40.2699,-8.2558,182.0195,-57.9255,295.2466,-27.6581,5.18,-10.99,-6.37,24.175723931261885,0.012573854787689243,0.0010113911189009173,0.41651397809428825
189.625,1.75,295.4231928542072,64.43296027668299,1896p017,341206,2,42244.0,42244.0,77899.0,5402.0,34.459,0.45,,,,,34.459,0.45,,,,,,,,,,,189.6199,1.7543,295.4103,64.4366,113.6376,-3.5017,-21.53,49.19,-3.29,24.008433041924146,0.012892854207166238,0.0036397233170077925,0.4166731282229098
122.78048780487805,31.5,190.40112499927895,29.788909913199305,1227p315,503551,1,1949872.0,1949872.0,73869.0,21790.0,37.809,0.49,,,,,37.809,0.49,,,,,,,,,,,122.7768,31.494,190.4069,29.7843,47.5268,-39.3886,111.83,122.15,-135.98,24.386565980204903,0.005775000721058632,0.004609913199303151,0.41682768025711014
214.60344827586206,36.5,65.32263604556155,69.34952049018409,2146p365,527783,1,51104.0,51104.0,0.0,3394.0,33.407,0.072,,,,,,,33.407,0.072,,,,,,,,,214.6068,36.4939,65.3035,69.3492,83.0676,25.8812,3.68,30.24,14.78,24.006860967787908,0.01913604556155235,0.000320490184094524,0.41957088520877867
127.39655172413794,36.5,185.64847744361228,34.63398101751878,1273p365,527502,0,3389916.0,3389916.0,70933.0,25011.0,38.159,0.55,,,,,38.159,0.55,,,,,,,,,,,127.4051,36.5006,185.6492,34.6409,49.122,-33.2147,134.33,155.2,-134.39,24.831751481170876,0.0007225563877284458,0.006918982481224134,0.42150406355513387
149.0057636887608,-15.75,252.8577373391692,29.598050270190928,1490m157,241304,2,181933.0,181933.0,0.0,12009.0,36.399,1.04,,,,,36.399,1.04,,,,,,,,,,,149.0003,-15.7545,252.8571,29.5911,122.9536,-46.5369,-44.53,68.69,-86.37,24.916004714488345,0.0006373391692022778,0.006950270190927199,0.42285435460160187
141.77710843373495,62.75,151.28875115405918,41.40454792944264,1417p627,625051,3,3086639.0,3086639.0,0.0,9019.0,35.499,0.47,,,,,35.499,0.47,,,,,,,,,,,141.7821,62.7565,151.2796,41.4042,42.9268,-6.1083,65.22,60.66,-9.53,24.804077368582153,0.009151154059196642,0.00034792944263983827,0.4229003729782057
336.84466019417476,-31.0,17.173091926367658,-58.41966858336187,3368m310,161434,0,68902.0,68902.0,0.0,3651.0,33.543,0.8,,,33.543,0.8,,,,,,,,,,,,,336.8462,-31.0067,17.1602,-58.4211,253.6222,20.856,-9.59,-32.64,12.96,24.583529263767943,0.012891926367657902,0.0014314166381339533,0.42404883073525756
170.1776649746193,57.0,145.0299818865006,56.063241558832814,1701p570,608400,0,3405024.0,34754.0,1588.0,14222.0,36.909,0.46,,,,,36.909,0.46,,,,,,,,,,,170.181,57.0066,145.0202,56.0592,56.3959,0.9998,78.41,117.99,2.47,24.64322124822023,0.009781886500604742,0.004041558832817316,0.42454379947042586
223.81578947368422,42.5,72.46273182682759,60.547252526239106,2238p425,554531,1,53339.0,53265.0,27699.0,5611.0,33.219,0.46,,,,,33.219,0.46,,,,,,,,,,,223.815,42.5068,72.4759,60.5453,75.6649,32.5765,11.66,45.62,30.08,24.569507659001037,0.01316817317240293,0.0019525262391084652,0.4246124937281953
186.57620041753654,48.5,134.13251394047307,68.07802260689962,1865p485,578710,0,40665.0,40665.0,0.0,480.0,28.73,0.05,,,,,,,,,,,28.73,0.05,,,,,186.5709,48.4942,134.1458,68.0828,67.9431,7.0648,1.79,4.41,0.59,24.410203371976696,0.013286059526933514,0.004777393100383165,0.42490017549359493
253.70689655172413,36.5,59.48475390119595,38.29704968726022,2537p365,527909,1,59244.0,59244.0,0.0,915.0,31.223,0.39,,,31.223,0.39,,,,,,,,,,,,,253.6984,36.5014,59.4852,38.304,72.7863,56.1835,1.51,4.86,7.6,25.0990523673099,0.0004460988040477787,0.006950312739782305,0.42571395099899506
208.77372262773721,18.25,5.055952410215631,72.86707350200824,2087p182,434650,2,49477.0,49477.0,0.0,7204.0,35.363,0.41,,,35.363,0.41,,,,,,,,,,,,,208.778,18.2443,5.0472,72.8606,102.0969,18.7692,-14.22,66.33,23.05,25.1979802671369,0.008752410215630668,0.006473502008233822,0.4351922500094795
144.40298507462686,21.75,208.90685563219864,45.82209297605983,1444p217,453381,3,3744610.0,3744610.0,0.0,27012.0,38.669,0.54,,,,,38.669,0.54,,,,,,,,,,,144.4013,21.7569,208.8967,45.8227,74.3003,-35.3104,58.42,207.83,-152.91,25.47097625157492,0.010155632198632247,0.0006070239401694266,0.4352789269983837
119.51501154734412,-53.25,267.01225265241516,-12.28265919671292,1195m532,66011,3,432081.0,431994.0,0.0,11604.0,36.039,0.59,,,,,36.039,0.59,,,,,,,,,,,119.5209,-53.2562,267.0196,-12.2825,191.6563,-50.4602,-71.71,-14.79,-88.7,25.671605368592537,0.007347347584868658,0.00015919671291975135,0.4353666337743307
315.5536028119508,-38.0,4.848939076304338,-41.26575910412672,3155m380,128037,1,131449.0,65899.0,0.0,13154.0,36.079,0.54,,,,,36.079,0.54,,,,,,,,,,,315.5611,-38.0039,4.8443,-41.2719,234.6663,28.5497,-65.74,-92.73,61.84,25.484087071001344,0.004639076304338019,0.006140895873279817,0.4355147566943069
208.3454281567489,17.25,1.5159259062595356,72.61482270141417,2083p172,429153,3,3815411.0,3815411.0,0.0,25136.0,37.599,0.52,,,,,37.599,0.52,,,,,,,,,,,208.3386,17.2476,1.4962,72.6185,103.043,18.1665,-52.87,228.21,76.87,25.01529406567208,0.01972590625953563,0.0036772985858277707,0.4403247726065647
181.7016806722689,48.75,141.7616417778341,66.71425819719667,1817p487,579652,2,3548042.0,38415.0,1906.0,20186.0,37.509,0.45,,,,,37.509,0.45,,,,,,,,,,,181.702,48.7571,141.7533,66.7081,66.7179,4.0756,76.55,177.9,13.8,25.57123458744288,0.00834177783409018,0.00615819719666888,0.44068721815480705
309.1359773371105,11.5,56.05756642893302,-17.16848442615835,3091p115,397444,0,65060.0,65060.0,0.0,4162.0,33.803,0.45,,,33.803,0.45,,,,,,,,,,,,,309.1409,11.4946,56.0555,-17.1753,289.9503,64.9857,5.99,-16.49,37.6,26.067050027234696,0.0020664289330198926,0.006815573841649325,0.44333283656191413
164.46902654867256,-20.0,269.67637988383814,35.434657106283034,1644m200,218035,1,32961.0,32961.0,0.0,4228.0,33.329,0.54,,,,,33.329,0.54,,,,,,,,,,,164.4615,-20.0016,269.67,35.4296,130.4806,-32.3571,-23.11,27.08,-22.56,26.1047813343727,0.006379883838121714,0.005057106283032908,0.4465166790273663
217.35,33.75,56.369572321780296,67.93394131037176,2173p337,514810,2,3827378.0,2038369.0,63571.0,25508.0,37.969,0.56,,,,,37.969,0.56,,,,,,,,,,,217.3413,33.7507,56.3748,67.9409,86.1799,28.0799,14.7,220.18,117.73,26.16316620275022,0.005227678219704046,0.006958689628234538,0.44823913789377556
197.375,-2.25,312.068229757831,60.30094927742811,1973m022,318197,3,1097679.0,1097679.0,0.0,24358.0,37.469,0.52,,,,,37.469,0.52,,,,,,,,,,,197.3764,-2.2428,312.0732,60.3079,119.5937,2.8762,-117.91,207.61,12.0,26.40471497216868,0.004970242169008543,0.006950722571886558,0.4519995476103731
181.65021156558532,10.5,268.3838538509512,70.30300527985028,1816p105,391283,1,3476526.0,3476526.0,0.0,28462.0,38.559,0.55,,,,,38.559,0.55,,,,,,,,,,,181.6448,10.5048,268.3629,70.3044,102.9193,-8.5803,-61.55,268.34,-41.54,25.797724690676098,0.02095385095117308,0.0013947201497188644,0.4523106492788269
182.28813559322035,60.75,132.06669183840367,55.62198629949534,1822p607,619644,2,2606248.0,2605896.0,24496.0,29944.0,38.189,0.48,,,,,38.189,0.48,,,,,,,,,,,182.2802,60.7438,132.0765,55.6269,55.3906,8.2,164.48,238.35,41.73,26.32629239288353,0.00980816159633946,0.004913700504658891,0.4534934019823905
133.79746835443038,9.25,218.88776517714075,31.661377884377277,1337p092,383994,2,1362094.0,1362094.0,56576.0,20736.0,37.269,0.47,,,,,37.269,0.47,,,,,,,,,,,133.7958,9.2428,218.8946,31.6568,78.4578,-51.171,25.6,125.38,-158.99,26.58924610152018,0.0068348228592469695,0.004577884377276575,0.4545668089285266
